한글명,영문명,등급,효과별,분류,성분설명,연관성분,참고논문
코코일프롤린,Cocoyl Proline*,좋음,수분 공급,,"코코일프롤린은 코코넛 지방산과 아미노산인 프롤린의 혼합물이며, 식물(코코넛)에서 유래하거나 합성으로 생산될 수 있다. 이 성분은 화장품에 수분 공급제 및 컨디셔닝제로 작용하며, 화장품에 사용기에 안전하다고 간주된다.
코코일프롤린은 화장품에서 제형의 필요에 따라 0.1-5%의 농도로 사용된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",아미노산,"International Journal of Toxicology, May-June 2017, pages 17S–56S
European Journal of Dermatology, April 2013, pages 195–201"
코코일하이드롤라이즈드콜라겐,Cocoyl Hydrolyzed Collagen,좋음,수분 공급,보습제(습윤제),"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제, 세정제
등급이 표시되지 않는 이유는 무엇일까요? 사실 성분 연구는 심층 분석을 필요로 하고 이를 위해서 충분한 시간이 필요합니다. 폴라초이스 연구진은 정확한 정보를 제공하기 위해 노력하고 있으며, 담당 팀에서 현재 내용을 검토중이거나 곧 진행할 예정입니다. 폴라초이스의 성분 데이터베이스는 매일 업데이트되고 있으니 수시로 최신 정보를 확인해주세요.",콜라겐아미노산,
코코-카프릴레이트,Coco-Caprylate*,좋음,수분 공급,"유연제(연화제), 질감향상제","코코-카프릴레이트는 코코넛 알코올에서 파생된 지방알코올이 카프릴릭애씨드라는 지방산과 반응하여 형성된 에스터 혼합물이다. 이러한 혼합의 결과로 가볍고 쉽게 발리는 연화제 성분이 만들어지며, 이 성분은 피부를 부드럽고 매끄럽게 가꾸어준다. 코코-카프릴레이트는 식물 유래 또는 합성으로 만들어질 수 있으며, 폴라초이스는 식물에서 유래한 코코-카프릴레이트를 사용한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",카프릴릭/카프릭트라이글리세라이드,"BASF, Accessed March 2021, ePublication
International Journal of Toxicology, September 2015, pages 5S-69S
Cosmetic Ingredient Review, April 2013, pages 1-82"
코코-카프릴레이트/카프레이트,Coco-Caprylate/Caprate*,좋음,수분 공급,유연제(연화제),"코코-카프릴레이트/카프레이트는 피부의 수분 유지를 돕는 가벼운 연화제이다. 코코넛에서 유래한 지방알코올(피부를 건조하게 만들지 않는 종류의 알코올)의 에스터를 카프릴릭애씨드 및 카프릭애씨드(이들 또한 코코넛에서 유래한다)와 결합하여 만들어진다.
코코-카프릴레이트/카프레이트는 피부 속 수분을 유지하여 경표피 수분 손실(TEWL, Trans-Epidermal Water Loss)을 방지하는 역할을 한다. 이 성분은 기존의 연화제와는 달리 가벼운 특성을 가지며, 피부에 부드럽고 산뜻한 사용감을 제공한다.
코코-카프릴레이트/카프레이트는 화장품 포뮬라의 질감과 사용감에도 영향을 미친다. 가벼운 특성 덕분에 제형의 발림성을 향상시키고, 질감을 향상시키데 도움을 준다. 또한 코코-카프릴레이트/카프레이트는 포뮬라 내의 다른 성분의 용해를 돕는 역할도 한다.
화장품 성분 검토 전문가 패널(Cosmetic Ingredient Review Expert Panel)에 따르면, 이 연화제는 리브온(leave-on) 및 린스오프(rinse-off) 제품에서 0.5%~62.0%의 농도 사용되며, 해당 범위 내에서 안전한 것으로 평가되었다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",카프릴릴카프릴레이트/카프레이트,"Applied Sciences, December 2023, pages 1-18
Scientific Reports, December 2020, ePublication
The Online Journal of Science and Technology, October 2020, pages 152-157
International Journal of Toxicology, September 2015, pages 5S-69S
Cosmetic Ingredient Review, April 2013, pages 1-82"
코튼씨오일,Gossypium Herbaceum (Cotton) Seed Oil*,좋음,,,"코튼씨오일은 무향의 식물성 오일로 수분차단제 역할을 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
코튼씨오일,Gossypium Herbaceum (Cotton) Seed Oil*,좋음,수분 공급,"유연제(연화제), 식물추출물, 수분증발차단제-불투명화제","코튼씨오일은 다양한 목화종의 씨앗에서 착취된 오일이다. 황금빛 노란색의 액체 형태로 공급되며, 이 무향의 식물성 오일은 피부에 진정 및 수분감을 부여하는 지방산 (리놀레익, 팔미틱, 올레익 애씨드 및 약간의 리놀레닉, 스테아릭, 미리스틱애씨드 포함) 의 좋은 공급원이다.
화장품 성분으로써 코튼씨오일의 주된 성능은 유연제 기능이면, 화장품 제품에 밀폐효과를 주는 성분으로 선택되기도 한다.
코튼씨오일이 비타민 E의 좋은 공급원이긴 하지만 착취 과정중 많이 손실되어, 피부에 사용될 때쯤엔 이 성분이 지닌 항산화성 이점이 한정적이게 된다. 이러한 한계점이 있음에도 불구하고, 공기에 노출됐을 시 안정적인 오일 중에 하나라고 간주된다.
코튼씨오일의 안전성은 평가되었으며 최대 21%까지의 농도는 피부에 민감성을 유발하거나 자극을 주지 않는다고 밝혀졌다. 공급업체는 코튼씨오일이 화장품에 함유하기 전 착취 과정에서 고시폴, 아플라톡신, 사이클로프로판노이드지방산 (CRFA)같은 독소들을 반드시 제거해야함을 주의해야한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Critical Reviews in Food Science and Nutrition, August 2021, pages 1,219–1,237
Food Science and Nutrition, March 2019, pages 1,027–1,034
International Journal of Toxicology, March 2001, pages 21–29"
콜라겐아미노산,Collagen Amino Acids*,좋음,수분 공급,보습제(습윤제),"콜라겐아미노산은 단백질의 가수분해(Hydrolysis, 물과의 반응으로 분해되는 현상)로 형성되며, 이로 인해 단일 아미노산인 하이드록시프롤린이 다량 생성되어 피부의 수분 함량을 높여주고 피부를 매끄럽게 만들어 준다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",식물성 콜라겐,"Clinical, Cosmetic, and Investigational Dermatology, February 2013, pages 43-49
Amino Acids, June 2012, pages 2,481-2,489"
콜레칼시페롤,Cholecalciferol,좋음,안티에이징,항산화제,"*한국의 경우 화장품에 배합금지 성분입니다.
비타민 D의 학명이다.",비타민 D,
쿼터늄-18헥토라이트,Quaternium-18 Hectorite*,좋음,,분산제,"분산제(suspending agent) 사용되며 유화 특성도 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
쿼터늄암모늄혼합물,Quaternium Ammonium Compounds,좋음,,세정제,"’콰트’라고도 하는 다양한 성분이다. 이 성분은 모발에 강하게 달라붙는 독특한 분자 구조를 가지고 있다. 콰트의 한쪽 끝이 모발을 잡을 때 다른 쪽 끝이 나와 다른 콰트 분자를 잡을 수 있는 손잡이를 제공한다. 즉, 이러한 결합은 일시적으로 모발 표면을 매끄럽게 만들어준다. 따라서 모발을 빗을 때 브러시가 모발 사이로 미끄러지는 듯 지나가는 느낌을 받을 수 있다. 주로 샴푸, 씻어내는 컨디셔너, 씻어내지 않는 컨디셔너 등 모발을 엉키지 않는다는 명목의 제품에서 발견할 수 있는 헤어 케어에 필수 성분이라고 할 수 있다. 화장품의 전성분리스트에서 볼수 있는 일반적인 콰트 성분들은 다음과 같다.
구아하이드록시프로필트라이모늄클로라이드, 다이세틸다이모늄클로라이드, 다이하이드로제네이티드탈로우벤질모늄클로라이드, 베헨트라이모늄클로라이드, 베헨알코늄베타인, 벤잘코늄클로라이드, 쿼터늄-18, 스테아랄코늄클로라이드, 세트리모늄클로라이드",,
퀴노아씨오일,Chenopodium Quinoa Seed Oil*,좋음,수분 공급,"유연제(연화제), 식물추출물, 보존제","퀴노아 알갱이에서 추출한 성분으로, 피부에 연화 특성을 가질 수 있으나, 이를 입증한 연구는 거의 없다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",퀴노아오일,
퀴노아오일,Quinoa Oil,좋음,수분 공급,"유연제(연화제), 식물추출물, 보존제","퀴노아 곡물에서 추출한 성분으로, 피부에 연화 특성을 가질 수 있으나, 이를 입증한 연구는 거의 없다.",퀴노아씨오일,
퀼라자추출물,Quillaja Extract,좋음,수분 공급,"세정제, 식물추출물, 보습제(습윤제)","칠레 비누 껍질 나무(Chilean soap bark tree)의 추출물. 다량의 사포닌이 함유되어 있고 세정제, 수분 결합제 역할을 한다.",사포닌,
크레오소트부시,Larrea Tridentata,좋음,안티에이징,"식물추출물, 항산화제",피부에 항산화 특성을 제공할 수 있는 식물.,,
크레오소트부시추출물,Larrea Tridentata Extract*,좋음,안티에이징,"식물추출물, 항산화제","피부에 항산화 특성을 제공할 수 있는 식물 추출물.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",크레오소트부시,
크리신,Chrysin*,좋음,,항산화제,"크리신은 꿀, 패션프루트, 당근 및 여러 종류의 버섯 등에 자연적으로 존재하는 식물 화합물이다. 폴리페놀성 플라보노이드로 알려진 항산화제의 일종으로 피부의 산화 스트레스를 줄이는 데 도움을 주는 신호 전달 능력을 가지고 있다. 5,7-디하이드록시플라본 (5,7-dihydroxyflavone)으로도 알려진 크리신은 극건성 피부를 포함한 피부의 자극과 불편함의 징후를 완화하는데 도움을 주는 뛰어난 진정 효과가 입증되었다.
체외 및 체내 연구에서 크리신에 함유된 CPD6라고 알려진 화합물이 피부 진정 효과의 주요 요인인 것으로 확인했다.
또한 크리신에는 멜라닌을 감소시키는 능력이 있어 눈 주위의 과도한 축적으로 인한 다크 서클을 완화하는 데에도 도움을 준다.
마지막으로 이 성분을 안정화하고 화장품 포뮬라에 대한 용해성을 위해서는 보다 신중한 테크닉이 필요하다. 이러한 단계가 없다면 생물학적 가용성이 낮아지기 때문이다. 하여 사이클로덱스트린으로 알려진 복합당, 펩타이드 및 지방산 기반 유화제 등 다양한 방식을 사용해 가용성을 높인다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"International Journal of Molecular Sciences, April 2021, pages 1–18; and May 2019, pages 1–17
Dermatologic Therapy, July 2020, pages 1–14
Life Sciences, August 2019, ePublication
Journal of the Iranian Chemical Society, July 2018, pages 2,401–2,410
Phytochemistry, January 2018, pages 187–196"
큰노랑꽃자리풀씨추출물,Trigonella Foenum-Graecum Seed Extract*,좋음,"수분 공급, 안티에이징","식물추출물, 보습제(습윤제), 항산화제","콩과 식물인 호로파의 학명이다. 씨앗이 가장 자주 활용되며 섬유질이 제품의 질감을 걸쭉하고 무게감있게 만들어준다. Natural Medicines Comprehensive Database의 연구에 따르면, 호로파에는 쿠마린이라는 화합물이 함유되어 있는데, 순수한 상태의 호로파 추출물을 피부에 바를 경우 쿠마린이 민감성을 유발할 수 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
클로렐라,Chlorella,좋음,"진정, 수분 공급","식물추출물, 항산화제, 질감향상제","클로렐라는 조류의 일종이다. 다른 조류 기반 성분과 마찬가지로 피부 관리 제형에 잠재적으로 증점제, 수분결합체 및 항산화제로 작용한다.","조류, 클로렐라 불가리스추출물",
클로로자일레놀,Chloroxylenol*,좋음,,"보존제, 세정제","클로로자일레놀은 보존제와 세정제로 사용되는 화합물이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
클로로펜,Chlorophene*,좋음,,보존제,"클로로펜은 화장품에 보존제로 쓰인다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
클로로필,Chlorophylls*,좋음,,"항산화제, 착색제-색소, 식물추출물","클로로필은 모든 녹색 식물과 일부 박테리아에 존재하는 천연 엽록소이다. 광합성 과정을 도와 햇빛을 식물이 성장하는 데 필요한 에너지로 전환하는 데 도움을 준다. 세포의 엽록체 막 부분에서 발견되며, 이름의 “필 phyll” 부분은 식물의 잎을 가리킨다.
엽록소와 피부의 상관관계는 무엇일까? 대부분의 식물 유래 화합물과 마찬가지로 환경적인 요소로 인한 피부 연쇄 손상을 막는 항산화 특성을 가지고 있다. 또한 동물 연구에서 입증된 것처럼 피부에 진정 작용을 한다.
일부 연구에서는 엽록소를 경구 섭취하면 햇빛으로 인한 손상의 징후인 주름과 탄력을 개선할 수 있다는 것을 보여주었으나 이러한 결과에 영향을 줄 수 있는 다른 요인과의 인과관계를 설명하기 위해 더 많은 연구가 필요하다.
또한 클로로필은 피로, 계절 알레르기 또는 디톡스와 같은 다양한 건강 문제를 해결하기 위해 보충제로 복용된다. 하지만 이 관행을 입증할만한 연구는 거의 없으며 오히려 다량 복용하면 위장 장애를 일으킬 수 있다. 떄문에 보충제에는 클로로필보다 더 안정적인 형태인 클로로필린(chlorophyllin)을 사용한다.
엽록소는 화장품에서 착색제로도 사용된다. 하지만 매력적인 녹색을 연출하기 위해 필요한 엽록소의 양이 포뮬라의 질감 및 효능 문제를 야기할 수 있기 때문에 안정성 문제가 발생할 수 있다.
화장품에 사용되는 클로로필의 배합 수준은 아직 정해지지 않았으나, 다량으로 사용하더라도 피부에 악영향을 주지 않는 것으로 알려져있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",클로로필린-카퍼컴플렉스,"Molecules, June 2022, pages 1–26
Antioxidants, June 2020, pages 1–34
Journal of Lifestyle Medicine, July 2014, pages 8–16
Journal of Dietary Supplements, June 2014, pages 198–239
Inflammation, June 2012, pages 959–966"
클로로필린-카퍼컴플렉스,Chlorophyllin-Copper Complex*,좋음,안티에이징,항산화제,"엽록소 유도체인 클로로필린-카퍼컴플렉스는 화장품의 불쾌한 향을 최소화하는 탈취제로서 활용된다. 주로 마스크팩, 클렌저, 비누, 세럼, 토너, 헤어 컨디셔너에 사용된다.
또한 피부에 이로운 항산화 화합물을 함유하고 있다.
엽록소는 일반적으로 녹색이지만 자연에서 클로로필린-카퍼컴플렉스는 녹색에서 검은색까지 다양한 색을 띄는데, 이는 엽록소가 포뮬라에 색을 나타낼 수 있음을 의미한다. 국가에 따라 이 성분을 화장품 착색제로 사용하기도 한다.
배합량은 0.001%–10% 사이이다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"CosmeticsInfo.org, Accessed September 2022, ePublication
International Association of Color Manufacturers, Accessed September 2022, ePublication
European Commission CosIng, Accessed September 2022, ePublication"
클로페네신,Chlorphenesin*,좋음,,보존제,"클로페네신은 수용성(Water-soluble) 및 글리세린 용해성(Glycerin-soluble) 보존제로, 제품의 오염을 억제하는 피부 관리 성분이다. 이 성분은 일부 유형의 박테리아에 약하다고 간주되기 때문에, 안정성과 유효 기간을 늘리기 위해 언제나 페녹시에탄올 및 카프릴릴글라이콜과 같은 다른 보존제와 결합하여 사용된다. 또한 이 성분은 피부에 원치 않는 냄새가 나는 것을 방지하는 데 도움을 주는 “화장품 살생제(Cosmetic Biocide)”로 간주된다.
2014년 Cosmetic Ingredient Review Expert Panel은 클로페네신이 피부에 사용되기에 안전하다고 결론지었으며, 그들의 보고서에는 씻어내는 제품에 최대 0.32%, 그리고 씻어내지 않는 제품에 최대 0.3%의 클로페네신을 함유한 제품들이 조사되었다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","페녹시에탄올, 카프릴릴글라이콜","CosmeticsInfo.org, Accessed June 2021, ePublication
International Journal of Toxicology, May 2014, pages 5S-15S"
클로헥시딘다이글루코네이트,Chlorhexidine Digluconate*,좋음,,보존제,"클로헥시딘다이글루코네이트는 오염을 방지하기 위해 화장품에 사용되는 보존제로 특히 수성 포뮬러에 사용된다. 또한 제형 내에서 원치 않는 냄새 변화를 방지하는 데 도움이 된다.
코스메틱 인그레디언트 리뷰 익스퍼트 패널(The Cosmetic Ingredient Review Expert Panel) 은 클로헥시딘다이글루코네이트가 0.2% 이하의 농도에서 안전하다고 판단했으며, 이는 코스메틱 공급업체가 제안한 보편적 사용범위 수준이다. 곰팡이에 대한 활성이 약하고 카보머(carbomers), 검(gums), 비누 성분이 포함된 포뮬라에는 적합하지 않다.
투명하고 옅은 노란색 액체다.
클로헥시딘다이글루코네이트는 의료분야에서 살균제로 쓰이는데, 특히 수술 전 피부 부위를 소독할 때 사용한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"CosmeticsInfo.org, Accessed December 2022, ePublication
SpecialChem (supplier info), Accessed December 2022, ePublication
European Journal of Pharmaceutics and Biopharmaceutics, February 2021, pages 77-87
International Journal of Toxicology, 2011, pages 73S-127S"
타라검,Caesalpinia Spinosa Gum*,좋음,수분 공급,질감향상제,"타라검(Peruvian carob 이라고도 불린다)은 제형의 질감을 개선하는데 도움을 주는 천연 증점제이자 점도 향상 성분이다. 남아메리카가 원산지인 Caesalpinia spinosa (타라) 나무 씨앗의 배유를 갈아서 얻어진다.
또한 타라검은 피부에 수분을 공급하는 다당류(복합당)로 분류된다.
이 성분의 원료 공급업체는 끈적거리지 않고 벨벳처럼 부드러운 사용감을 제공한다고 설명한다. 공급업체가 제안하는 이상적인 농도 수준 범위는 0.1-2%이다.
원료는 수용성인 무취의 백색 분말로, 다른 성분들과 폭넓게 상용된다. Cosmetic Ingredient Review Expert Panel는 타라검은 안전한 화장품 성분으로 평가했다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Natura Skin, Accessed January 2022, ePublication
SpecialChem, Accessed January 2022, ePublication
UL Prospector, Accessed January 2022, ePublication
Cosmetics, June 2019, pages 1-13
International Journal of Toxicology, 2015, pages 35S-65S
Polysaccharides: Bioactivity and Biotechnology; Springer International Publishing, 2015, pages 1,867-1,892."
타마누오일,Tamanu Oil,좋음,"수분 공급, 안티에이징","유연제(연화제), 식물추출물, 항산화제","폴리네시아가 원산지인 나무에서 추출한 성분이다. 대부분의 오일과 마찬가지로 스킨케어 제품에 안전하게 사용할 수 있으며, 인지질과 당지질로 구성되어 있다. 이러한 구성 성분은 건강한 피부에 존재하는 천연 구성 요소와 같으며 좋은 수분 공급제이다. 그 외 알려진 모든 기적적인 효능에 대해서는 과학적으로 입증되지 않은 내용이다.",,
타마린드씨검,Tamarindus Indica Seed Gum*,좋음,수분 공급,"유화제, 질감향상제, 보습제(습윤제)","쾌적하고 매끄러운 두텁고 젤과 같은 질감을 만드는 천연 다당류이다. 에멀전 안정제, 피부 컨디셔닝제, 보습제로도 사용할 수 있다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",검,"Sumitomo Pharma Food & Chemical Co. (supplier info), Accessed July 2022, ePbulication
Polymers, February 2021, pages 1-11
Innovative Food Science & Emerging Technologies, December 2020, ePublication
Asian Journal of Pharmaceutical Sciences, September 2018, pages 398-408
Cosmetic Ingredient Review, October 2015, pages 1-87"
타피오카전분,Tapioca Starch*,좋음,유분 조절,"질감향상제, 흡수제","카사바(Manihotesculenta)의 뿌리에서 유래한 천연 증점제, 질감 향상제이다. 전분의 구성 성분인 아밀로오스와 아밀로펙틴으로 구성되어 있으며 타피오카 특유의 걸쭉한 특성이 있다. 화장품에서 타피오카 전분은 에멀전을 안정시키고 질감을 젤 타입으로 만들며 주요 성분을 피부에 전달하는 역할을 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Cosmetic Ingredient Review, October 2015, pages 1-87
International Journal of Cosmetic Science, June 2003, pages 113-125"
탈염수,Deionized/Demineralized Water,좋음,수분 공급,용제,화장품에 사용하는 여과수이다. 화장품 제형에 사용되는 모든 물은 제품의 안정성과 성능을 방해할 수 있는 성분을 제거하기 위해 여과 과정을 거친다. 정제수라고도 불린다.,"정제수, 정제수, 정제수",
터피네올,Terpineol,좋음,"안티에이징, 진정","항산화제, 착향제, 식물추출물","착향제
등급이 표시되지 않는 이유는 무엇일까요? 사실 성분 연구는 심층 분석을 필요로 하고 이를 위해서 충분한 시간이 필요합니다. 폴라초이스 연구진은 정확한 정보를 제공하기 위해 노력하고 있으며, 담당 팀에서 현재 내용을 검토중이거나 곧 진행할 예정입니다. 폴라초이스의 성분 데이터베이스는 매일 업데이트되고 있으니 수시로 최신 정보를 확인해주세요.","카주풋오일, 페티그레인 만다린, 파인오일, 대왕소나무오일, 카다멈",
테트라디부틸펜타에리스리틸히드록시히드로신나메이트,Tetradibutyl Pentaerithrityl Hydroxyhydrocinnamate,좋음,,"항산화제, pH 조절제, 보존제","화장품 제형에 항산화제, 안정화제 및 보존제를 비롯한 다양한 역할을 하는 성분이다.",항산화제,
테트라소듐글루타메이트다이아세테이트,Tetrasodium Glutamate Diacetate*,좋음,,금속이온봉쇄제,"자연 유래의 안전한 합성 금속이온봉쇄제. 보존 효과를 높이기 위해 최대 1%의 양으로 사용된다. 이보다 적은 양을 사용하여도 효능은 유지된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",테트라소듐이디티에이,"Cosmetic Ingredient Review, April 2021, pages 1-15
Huan Jing Ke Xue, August 2020, pages 3862-3869
SOFW Journal, February 2014"
테트라소듐에티드로네이트,Tetrasodium Etidronate*,좋음,,금속이온봉쇄제,"화장품에 사용하는 금속이온봉쇄제. 다양한 미네랄 성분이 결합하여 제형에 부정적인 영향을 끼치는 것을 방지한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",금속이온봉쇄제,
테트라소듐이디티에이,Tetrasodium EDTA*,좋음,,금속이온봉쇄제,"워터 베이스의 제재에 존재하는 미네랄 및 금속 성분이 다른 성분과 결합해 효능에 영향을 미치는 것을 방지하는 금속이온봉쇄제이다. 금속이온봉쇄제는 제품의 질감, 향, 균일성을 보존하는 우수한 안정제이다.
EDTA의 염 형태 중 하나로 에틸렌다이아민테트라아세틱애씨드의 줄임말이다. 화장품 성분의 안정화를 돕고 물 속 미네랄이 원료와 결합는 것을 방지하기 위해 별도로 첨가되는 물질이다. 화장품에 사용되는 다른 종류로는 다이소듐이디티에이, 트라이소듐이디티에이가 있다.
일반적으로 보통 0.5% 이하의 농도로 사용되지만, 화장품에서는 최대 2%까지 안전한 것으로 알려져있다. 임상 실험에 따르면 이 성분은 피부 표면 아래로 침투하지 않는다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","다이소듐이디티에이, 트라이소듐이디티에이, 이디티에이","Journal of Applied Polymer Science, April 2021, Volume, Issue 16
Advances in Wound Care, June 2015, Volume 4, Number 7, pages 415-421
International Journal of Toxicology, January 2002, Issue 21, Supplement 2, pages 95-142"
테트라펩타이드-21,Tetrapeptide-21,좋음,안티에이징,펩타이드,"피부컨디셔닝제
등급이 표시되지 않는 이유는 무엇일까요? 사실 성분 연구는 심층 분석을 필요로 하고 이를 위해서 충분한 시간이 필요합니다. 폴라초이스 연구진은 정확한 정보를 제공하기 위해 노력하고 있으며, 담당 팀에서 현재 내용을 검토중이거나 곧 진행할 예정입니다. 폴라초이스의 성분 데이터베이스는 매일 업데이트되고 있으니 수시로 최신 정보를 확인해주세요.",펩타이드,
테트라하이드록시프로필에틸렌다이아민,Tetrahydroxypropyl Ethylenediamine*,좋음,,금속이온봉쇄제,"금속이온봉쇄제. 금속 이온 및 화합물 복합체로 피부, 머리카락, 옷 등의 표면에 미량의 철이 달라붙거나, 오염 유발을 방지한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",금속이온봉쇄제,
토코페릴니코티네이트,Tocopheryl Nicotinate,좋음,안티에이징,항산화제,"항산화제, 피부컨디셔닝제, 피부보호
등급이 표시되지 않는 이유는 무엇일까요? 사실 성분 연구는 심층 분석을 필요로 하고 이를 위해서 충분한 시간이 필요합니다. 폴라초이스 연구진은 정확한 정보를 제공하기 위해 노력하고 있으며, 담당 팀에서 현재 내용을 검토중이거나 곧 진행할 예정입니다. 폴라초이스의 성분 데이터베이스는 매일 업데이트되고 있으니 수시로 최신 정보를 확인해주세요.","토코페릴석시네이트, 토코페릴아세테이트, 비타민 E, 알파-토코페롤, 토코페롤, 토코페롤아세테이트, D-알파-토코페롤, 니코티닉애씨드",
통위드추출물,Himanthalia Elongata Extract*,좋음,,식물추출물,"해조류 추출물, 피부에 영양을 공급하는 성분들 함유하기도 한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,
퉁퉁마디추출물,Salicornia Herbacea Extract*,좋음,"안티에이징, 다크스팟 개선, 피부 톤 개선, 수분 공급","항산화제, 식물추출물","퉁퉁마디추출물은 대한민국 해안가에서 재배되는 바닷물과 같은 염분이 많은 토양에서 자라는 식물에서 발견되는 기름기 있는 추출물이다. 소수의 연구 결과에 따르면, 이 식물은 피부와 체내에서 매우 강력한 항산화제 역할을 하는 것으로 나타났다. 다크 스팟을 옅게 개선시키는데도 일조할 수 있다고도 보여지는데, 이를 입증하기 위해선 더 많은 연구가 필요하다.
이 식물의 항산화 능력은 피부의 콜라겐을 생성하는 세포인 섬유아세포를 보호하는데 큰 영향을 주는 것으로 나타났다.
또한, 이 식물은 피부의 천연보습인자인 우레아 또는 NMF를 증가시켜 피부 장벽을 강화시키는 역할을 한다. 이로 인해 피부에 수분감을 향상시키고, 거친 피부결을 개선시키는데 도움을 준다.
건강한 피부를 유지하는데 도움을 주는 미네랄인 칼륨, 나트륨과 칼슘의 좋은 공급원이다.
Lipid Carrier Base 제형의 스킨케어 제품에 함유될 시, 이 추출물의 권장 사용량 0.25-1%이다.
흥미로운 사실: 이 식물은 식용 가능하며, 염분 함량이 높아 소금의 대체품으로도 사용된다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Foods, February 2022, pages 1–19
Bioscience, Biotechnology and Biochemistry, March 2009, pages 552–560"
트라이글리세라이드,Triglyceride,좋음,수분 공급,"질감향상제, 유연제(연화제)","화장품에서 연화제, 증점제로 사용되는 성분",,
트라이데세스-12,Trideceth-12*,좋음,,"세정제, 유화제","지방알코올 (트라이데실알코올)과 폴리에틸렌글라이콜의 합성 혼합물로 유화제, 세정제 역할을 한다. 대규모 연구에 따르면 트라이데세스는 화장품에 소량으로 사용될 때 안전하고 민감성을 유발하지 않는 것으로 나타났다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",폴리에틸렌글라이콜,"Cosmeticsinfo.org, Accessed November 2021, ePublication
International Journal of Toxicology, 2012, pages 169S-244S"
트라이데세스-6,Trideceth-6*,좋음,,"유화제, 세정제","유화제. 즉 기름과 물처럼 서로 다른 성분들이 잘 섞이게 도움을 주는 성분이다. The independent Cosmetics Ingredient Review는 화장품에 안전하게 사용할 수 있다고 판단했다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"Cosmetic Ingredient Review, December 2010"
트라이데실살리실레이트,Tridecyl Salicylate*,좋음,수분 공급,보습제(습윤제),"살리실릭애씨드(BHA)의 염 형태로 합성 성분이다. 트라이데실살리실레이트처럼 산성을 띄지 않을 때, 살리실릭애씨드는 더 이상 각질제거제 작용을 하지 않고 피부를 부드럽게 연화한다.
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭","바하, 살리실릭애씨드",
트라이데실스테아레이트,Tridecyl Stearate*,좋음,수분 공급,"유연제(연화제), 질감향상제","스테아릭애씨드와 트라이데실알코올의 반응으로 생성된 에스테르 성분이다. 화장품에 증점제, 질감 향상제, 연화제로 사용되며 동물 유래 성분이거나 합성 성분일 수 있다. (폴라초이스는 합성 성분을 사용한다.)
원료는 밝은 노란 빛을 띄는 투명한 오일 형태를 띄고 있다. 이 성분이 함유된 제품은 빠른 흡수력과 벨벳처럼 부드러운 마무리감을 가지고 있다.
the Cosmetic Ingredient Review Expert Panel은 트라이데실스테아레이트를 화장품에 사용하기에 안전한 성분으로 판단했다. 2015년 보고서에 따르면 조사한 88개 제품에서 최대 18%까지 사용되는 것으로 확인되었다. (일반적인 배합 수준은 1-8% 범위이다.)
*대한화장품성분사전에 등록된 표준화 국문, 영문명칭",,"UPIChem, Accessed November 2021, ePublication
Vantage, Accessed November 2021, ePublication
International Journal of Toxicology, September 2015, pages 5S-69S"
